번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량
1022,옥수수,대구(경상북도농업기술원),2015,30670,14.8,-8.9,38.3,21,16,908.5
1023,옥수수,대구(경상북도농업기술원),2015,26480,14.8,-8.9,38.3,21,16,908.5
1024,옥수수,대구(경상북도농업기술원),2015,25300,14.8,-8.9,38.3,21,16,908.5
1025,옥수수,대구(경상북도농업기술원),2015,26640,14.8,-8.9,38.3,21,16,908.5
1026,옥수수,대구(경상북도농업기술원),2015,23050,14.8,-8.9,38.3,21,16,908.5
1027,옥수수,수원,2014,25230,13.1,-11.1,34.6,8,4,1029.1
1028,옥수수,수원,2014,27380,13.1,-11.1,34.6,8,4,1029.1
1029,옥수수,수원,2014,27080,13.1,-11.1,34.6,8,4,1029.1
1030,옥수수,수원,2014,25930,13.1,-11.1,34.6,8,4,1029.1
1031,옥수수,수원,2014,23340,13.1,-11.1,34.6,8,4,1029.1
1032,옥수수,수원,2014,24690,13.1,-11.1,34.6,8,4,1029.1
1033,옥수수,수원,2014,21490,13.1,-11.1,34.6,8,4,1029.1
1034,옥수수,수원,2014,19970,13.1,-11.1,34.6,8,4,1029.1
1035,옥수수,수원,2014,24640,13.1,-11.1,34.6,8,4,1029.1
1036,옥수수,수원,2014,25490,13.1,-11.1,34.6,8,4,1029.1
1037,옥수수,수원,2014,23510,13.1,-11.1,34.6,8,4,1029.1
1038,옥수수,수원,2014,24520,13.1,-11.1,34.6,8,4,1029.1
1039,옥수수,수원,2014,25980,13.1,-11.1,34.6,8,4,1029.1
1040,옥수수,수원,2013,12940,12.3,-18.1,34.7,14,7,1240.1
1041,옥수수,수원,2013,11240,12.3,-18.1,34.7,14,7,1240.1
1042,옥수수,수원,2013,11700,12.3,-18.1,34.7,14,7,1240.1
1043,옥수수,수원,2013,11470,12.3,-18.1,34.7,14,7,1240.1
1044,옥수수,수원,2013,12200,12.3,-18.1,34.7,14,7,1240.1
1045,옥수수,수원,2013,13570,12.3,-18.1,34.7,14,7,1240.1
1046,옥수수,수원,2013,11710,12.3,-18.1,34.7,14,7,1240.1
1047,옥수수,수원,2013,11830,12.3,-18.1,34.7,14,7,1240.1
1048,옥수수,수원,2013,12060,12.3,-18.1,34.7,14,7,1240.1
1049,옥수수,수원,2013,10940,12.3,-18.1,34.7,14,7,1240.1
1050,옥수수,수원,2013,10280,12.3,-18.1,34.7,14,7,1240.1
1051,옥수수,수원,2013,11310,12.3,-18.1,34.7,14,7,1240.1
1052,옥수수,수원,2013,9570,12.3,-18.1,34.7,14,7,1240.1
1053,옥수수,수원,2013,9230,12.3,-18.1,34.7,14,7,1240.1
1054,옥수수,수원,2012,20170,12.1,-16.2,37.4,16,10,1748.3
1055,옥수수,수원,2012,19670,12.1,-16.2,37.4,16,10,1748.3
1056,옥수수,수원,2012,18600,12.1,-16.2,37.4,16,10,1748.3
1057,옥수수,수원,2012,19050,12.1,-16.2,37.4,16,10,1748.3
1058,옥수수,수원,2012,17450,12.1,-16.2,37.4,16,10,1748.3
1059,옥수수,수원,2012,14110,12.1,-16.2,37.4,16,10,1748.3
1060,옥수수,수원,2012,18180,12.1,-16.2,37.4,16,10,1748.3
1061,옥수수,수원,2012,22680,12.1,-16.2,37.4,16,10,1748.3
1062,옥수수,수원,2012,18480,12.1,-16.2,37.4,16,10,1748.3
1063,옥수수,수원,2011,15330,11.8,-16.9,35.8,8,3,1975.9
1064,옥수수,수원,2011,14880,11.8,-16.9,35.8,8,3,1975.9
1065,옥수수,수원,2011,15520,11.8,-16.9,35.8,8,3,1975.9
1066,옥수수,수원,2011,15910,11.8,-16.9,35.8,8,3,1975.9
1067,옥수수,수원,2011,15070,11.8,-16.9,35.8,8,3,1975.9
1068,옥수수,수원,2011,15580,11.8,-16.9,35.8,8,3,1975.9
1069,옥수수,수원,2011,13020,11.8,-16.9,35.8,8,3,1975.9
1070,옥수수,수원,2011,14220,11.8,-16.9,35.8,8,3,1975.9
1071,옥수수,수원,2011,14250,11.8,-16.9,35.8,8,3,1975.9
1072,옥수수,수원,2011,13380,11.8,-16.9,35.8,8,3,1975.9
1073,옥수수,수원,2010,22470,12.2,-18.6,34.2,10,2,1470.6
1074,옥수수,수원,2010,21530,12.2,-18.6,34.2,10,2,1470.6
1075,옥수수,수원,2010,21400,12.2,-18.6,34.2,10,2,1470.6
1076,옥수수,수원,2010,21390,12.2,-18.6,34.2,10,2,1470.6
1077,옥수수,수원,2010,20110,12.2,-18.6,34.2,10,2,1470.6
1078,옥수수,수원,2010,21240,12.2,-18.6,34.2,10,2,1470.6
1079,옥수수,수원,2010,21250,12.2,-18.6,34.2,10,2,1470.6
1080,옥수수,수원,2010,20550,12.2,-18.6,34.2,10,2,1470.6
1081,옥수수,수원,2010,19630,12.2,-18.6,34.2,10,2,1470.6
1082,옥수수,수원,2010,23000,12.2,-18.6,34.2,10,2,1470.6
1083,옥수수,수원,2010,20060,12.2,-18.6,34.2,10,2,1470.6
1084,옥수수,수원,2007,18210,12.9,-9.9,33.2,1,1,1325
1085,옥수수,수원,2007,19760,12.9,-9.9,33.2,1,1,1325
1086,옥수수,수원,2007,21400,12.9,-9.9,33.2,1,1,1325
1087,옥수수,수원,2007,21080,12.9,-9.9,33.2,1,1,1325
1088,옥수수,수원,2007,20870,12.9,-9.9,33.2,1,1,1325
1089,옥수수,수원,2007,18870,12.9,-9.9,33.2,1,1,1325
1090,옥수수,수원,2007,22210,12.9,-9.9,33.2,1,1,1325
1091,옥수수,수원,2007,21790,12.9,-9.9,33.2,1,1,1325
1092,옥수수,수원,2006,21300,12.9,-13.2,35.9,13,5,1362.7
1093,옥수수,수원,2006,23040,12.9,-13.2,35.9,13,5,1362.7
1094,옥수수,수원,2006,17130,12.9,-13.2,35.9,13,5,1362.7
1095,옥수수,수원,2006,20780,12.9,-13.2,35.9,13,5,1362.7
1096,옥수수,수원,2006,19630,12.9,-13.2,35.9,13,5,1362.7
1097,옥수수,수원,2006,20360,12.9,-13.2,35.9,13,5,1362.7
1098,옥수수,수원,2006,22340,12.9,-13.2,35.9,13,5,1362.7
1099,옥수수,수원,2006,22620,12.9,-13.2,35.9,13,5,1362.7
1100,옥수수,수원,2006,21740,12.9,-13.2,35.9,13,5,1362.7
1101,옥수수,수원,2006,19860,12.9,-13.2,35.9,13,5,1362.7
1102,옥수수,수원,2006,21110,12.9,-13.2,35.9,13,5,1362.7
1103,옥수수,수원,2005,14150,12,-14.4,35.1,7,3,1427.7
1104,옥수수,수원,2005,14870,12,-14.4,35.1,7,3,1427.7
1105,옥수수,수원,2005,17050,12,-14.4,35.1,7,3,1427.7
1106,옥수수,수원,2005,17510,12,-14.4,35.1,7,3,1427.7
1107,옥수수,수원,2005,18930,12,-14.4,35.1,7,3,1427.7
1108,옥수수,수원,2005,16790,12,-14.4,35.1,7,3,1427.7
1109,옥수수,수원,2005,15000,12,-14.4,35.1,7,3,1427.7
1110,옥수수,수원,2005,17430,12,-14.4,35.1,7,3,1427.7
1111,옥수수,수원,2005,18220,12,-14.4,35.1,7,3,1427.7
1112,옥수수,수원,2005,17820,12,-14.4,35.1,7,3,1427.7
1113,옥수수,수원,2005,17350,12,-14.4,35.1,7,3,1427.7
1114,옥수수,수원,2005,15650,12,-14.4,35.1,7,3,1427.7
1115,옥수수,수원,2016,26290,13.6,-16.2,36.5,30,23,1023.4
1116,옥수수,수원,2016,22630,13.6,-16.2,36.5,30,23,1023.4
1117,옥수수,수원,2016,26130,13.6,-16.2,36.5,30,23,1023.4
1118,옥수수,수원,2016,27180,13.6,-16.2,36.5,30,23,1023.4
1119,옥수수,수원,2016,23170,13.6,-16.2,36.5,30,23,1023.4
1120,옥수수,수원,2016,26930,13.6,-16.2,36.5,30,23,1023.4
1121,옥수수,수원,2016,23520,13.6,-16.2,36.5,30,23,1023.4
1122,옥수수,수원,2016,21380,13.6,-16.2,36.5,30,23,1023.4
1123,옥수수,수원,2016,25370,13.6,-16.2,36.5,30,23,1023.4
1124,옥수수,수원,2016,22440,13.6,-16.2,36.5,30,23,1023.4
1125,옥수수,수원,2016,24800,13.6,-16.2,36.5,30,23,1023.4
1126,옥수수,수원,2016,23700,13.6,-16.2,36.5,30,23,1023.4
1127,옥수수,수원,2015,16390,13.5,-11.7,35.3,12,4,751.1
1128,옥수수,수원,2015,15390,13.5,-11.7,35.3,12,4,751.1
1129,옥수수,수원,2015,15790,13.5,-11.7,35.3,12,4,751.1
1130,옥수수,수원,2015,14030,13.5,-11.7,35.3,12,4,751.1
1131,옥수수,수원,2015,18110,13.5,-11.7,35.3,12,4,751.1
1132,옥수수,수원,2015,19630,13.5,-11.7,35.3,12,4,751.1
1133,옥수수,수원,2015,14600,13.5,-11.7,35.3,12,4,751.1
1134,옥수수,수원,2015,18260,13.5,-11.7,35.3,12,4,751.1
1135,옥수수,수원,2015,13420,13.5,-11.7,35.3,12,4,751.1
1136,옥수수,수원,2015,15540,13.5,-11.7,35.3,12,4,751.1
1137,옥수수,수원,2015,19380,13.5,-11.7,35.3,12,4,751.1
1138,옥수수,수원,2015,16780,13.5,-11.7,35.3,12,4,751.1
1139,옥수수,천안,2015,15320,13,-12.8,36.3,10,5,728
1140,옥수수,천안,2015,17450,13,-12.8,36.3,10,5,728
1141,옥수수,천안,2015,14620,13,-12.8,36.3,10,5,728
1142,옥수수,천안,2015,15090,13,-12.8,36.3,10,5,728
1143,옥수수,천안,2015,17550,13,-12.8,36.3,10,5,728
1144,옥수수,천안,2015,14670,13,-12.8,36.3,10,5,728
1145,옥수수,천안,2015,13010,13,-12.8,36.3,10,5,728
1146,옥수수,천안,2015,13340,13,-12.8,36.3,10,5,728
1147,옥수수,천안,2015,15620,13,-12.8,36.3,10,5,728
1148,옥수수,천안,2015,14990,13,-12.8,36.3,10,5,728
1149,옥수수,천안,2015,13170,13,-12.8,36.3,10,5,728
1150,옥수수,천안,2015,11890,13,-12.8,36.3,10,5,728
1151,옥수수,천안,2005,17750,11.8,-17.8,36.2,9,4,1309.3
1152,옥수수,천안,2005,17570,11.8,-17.8,36.2,9,4,1309.3
1153,옥수수,천안,2005,19220,11.8,-17.8,36.2,9,4,1309.3
1154,옥수수,천안,2005,20330,11.8,-17.8,36.2,9,4,1309.3
1155,옥수수,천안,2005,16960,11.8,-17.8,36.2,9,4,1309.3
1156,옥수수,천안,2005,16060,11.8,-17.8,36.2,9,4,1309.3
1157,옥수수,천안,2005,17820,11.8,-17.8,36.2,9,4,1309.3
1158,옥수수,천안,2005,21910,11.8,-17.8,36.2,9,4,1309.3
1159,옥수수,천안,2005,20900,11.8,-17.8,36.2,9,4,1309.3
1160,옥수수,천안,2005,21650,11.8,-17.8,36.2,9,4,1309.3
1161,옥수수,천안,2005,16690,11.8,-17.8,36.2,9,4,1309.3
1162,옥수수,천안,2005,19700,11.8,-17.8,36.2,9,4,1309.3
1163,옥수수,천안,2016,16870,12.7,-18.6,35.1,17,7,1004.8
1164,옥수수,천안,2016,16520,12.7,-18.6,35.1,17,7,1004.8
1165,옥수수,천안,2016,19530,12.7,-18.6,35.1,17,7,1004.8
1166,옥수수,천안,2016,17680,12.7,-18.6,35.1,17,7,1004.8
1167,옥수수,천안,2016,21320,12.7,-18.6,35.1,17,7,1004.8
1168,옥수수,천안,2016,19590,12.7,-18.6,35.1,17,7,1004.8
1169,옥수수,천안,2016,16980,12.7,-18.6,35.1,17,7,1004.8
1170,옥수수,천안,2016,21490,12.7,-18.6,35.1,17,7,1004.8
1171,옥수수,천안,2016,14360,12.7,-18.6,35.1,17,7,1004.8
1172,옥수수,천안,2016,13870,12.7,-18.6,35.1,17,7,1004.8
1173,옥수수,천안,2016,16480,12.7,-18.6,35.1,17,7,1004.8
1174,옥수수,천안,2016,14400,12.7,-18.6,35.1,17,7,1004.8
1175,옥수수,천안,2014,17540,12.8,-14.5,34.6,6,2,1020.5
1176,옥수수,천안,2014,20350,12.8,-14.5,34.6,6,2,1020.5
1177,옥수수,천안,2014,17420,12.8,-14.5,34.6,6,2,1020.5
1178,옥수수,천안,2014,19470,12.8,-14.5,34.6,6,2,1020.5
1179,옥수수,천안,2014,13890,12.8,-14.5,34.6,6,2,1020.5
1180,옥수수,천안,2014,14440,12.8,-14.5,34.6,6,2,1020.5
1181,옥수수,천안,2014,15890,12.8,-14.5,34.6,6,2,1020.5
1182,옥수수,천안,2014,10500,12.8,-14.5,34.6,6,2,1020.5
1183,옥수수,천안,2014,18330,12.8,-14.5,34.6,6,2,1020.5
1184,옥수수,천안,2014,12170,12.8,-14.5,34.6,6,2,1020.5
1185,옥수수,천안,2014,14950,12.8,-14.5,34.6,6,2,1020.5
1186,옥수수,천안,2014,17140,12.8,-14.5,34.6,6,2,1020.5
1187,옥수수,천안,2014,15900,12.8,-14.5,34.6,6,2,1020.5
1188,옥수수,천안,2013,15530,12.3,-19.2,35.6,14,6,1095.6
1189,옥수수,천안,2013,12770,12.3,-19.2,35.6,14,6,1095.6
1190,옥수수,천안,2013,15340,12.3,-19.2,35.6,14,6,1095.6
1191,옥수수,천안,2013,13490,12.3,-19.2,35.6,14,6,1095.6
1192,옥수수,천안,2013,14850,12.3,-19.2,35.6,14,6,1095.6
1193,옥수수,천안,2013,14810,12.3,-19.2,35.6,14,6,1095.6
1194,옥수수,천안,2013,15240,12.3,-19.2,35.6,14,6,1095.6
1195,옥수수,천안,2013,15610,12.3,-19.2,35.6,14,6,1095.6
1196,옥수수,천안,2013,14820,12.3,-19.2,35.6,14,6,1095.6
1197,옥수수,천안,2013,16730,12.3,-19.2,35.6,14,6,1095.6
1198,옥수수,천안,2013,13530,12.3,-19.2,35.6,14,6,1095.6
1199,옥수수,천안,2013,15880,12.3,-19.2,35.6,14,6,1095.6
1200,옥수수,천안,2013,13360,12.3,-19.2,35.6,14,6,1095.6
1201,옥수수,천안,2013,15090,12.3,-19.2,35.6,14,6,1095.6
1202,옥수수,천안,2012,10370,11.9,-17.8,36.4,20,17,1336.7
1203,옥수수,천안,2012,10730,11.9,-17.8,36.4,20,17,1336.7
1204,옥수수,천안,2012,10870,11.9,-17.8,36.4,20,17,1336.7
1205,옥수수,천안,2012,8210,11.9,-17.8,36.4,20,17,1336.7
1206,옥수수,천안,2012,12130,11.9,-17.8,36.4,20,17,1336.7
1207,옥수수,천안,2012,11260,11.9,-17.8,36.4,20,17,1336.7
1208,옥수수,천안,2012,9340,11.9,-17.8,36.4,20,17,1336.7
1209,옥수수,천안,2012,9760,11.9,-17.8,36.4,20,17,1336.7
1210,옥수수,천안,2012,9400,11.9,-17.8,36.4,20,17,1336.7
1211,옥수수,천안,2011,13570,12,-18.3,34.3,6,4,1845.8
1212,옥수수,천안,2011,12940,12,-18.3,34.3,6,4,1845.8
1213,옥수수,천안,2011,11640,12,-18.3,34.3,6,4,1845.8
1214,옥수수,천안,2011,12330,12,-18.3,34.3,6,4,1845.8
1215,옥수수,천안,2011,13190,12,-18.3,34.3,6,4,1845.8
1216,옥수수,천안,2011,11580,12,-18.3,34.3,6,4,1845.8
1217,옥수수,천안,2011,12190,12,-18.3,34.3,6,4,1845.8
1218,옥수수,천안,2011,10780,12,-18.3,34.3,6,4,1845.8
1219,옥수수,천안,2011,10340,12,-18.3,34.3,6,4,1845.8
1220,옥수수,천안,2011,10770,12,-18.3,34.3,6,4,1845.8
1221,옥수수,천안,2010,20650,12.2,-19.5,34.9,14,5,1378.3
1222,옥수수,천안,2010,21560,12.2,-19.5,34.9,14,5,1378.3
1223,옥수수,천안,2010,22900,12.2,-19.5,34.9,14,5,1378.3
1224,옥수수,천안,2010,20110,12.2,-19.5,34.9,14,5,1378.3
1225,옥수수,천안,2010,20670,12.2,-19.5,34.9,14,5,1378.3
1226,옥수수,천안,2010,20630,12.2,-19.5,34.9,14,5,1378.3
1227,옥수수,천안,2010,20910,12.2,-19.5,34.9,14,5,1378.3
1228,옥수수,천안,2010,20660,12.2,-19.5,34.9,14,5,1378.3
1229,옥수수,천안,2010,19200,12.2,-19.5,34.9,14,5,1378.3
1230,옥수수,천안,2010,19940,12.2,-19.5,34.9,14,5,1378.3
1231,옥수수,천안,2010,17170,12.2,-19.5,34.9,14,5,1378.3
1232,옥수수,천안,2007,16800,12.5,-13.6,34.9,3,2,1562.4
1233,옥수수,천안,2007,21250,12.5,-13.6,34.9,3,2,1562.4
1234,옥수수,천안,2007,18210,12.5,-13.6,34.9,3,2,1562.4
1235,옥수수,천안,2007,17820,12.5,-13.6,34.9,3,2,1562.4
1236,옥수수,천안,2007,19680,12.5,-13.6,34.9,3,2,1562.4
1237,옥수수,천안,2007,23210,12.5,-13.6,34.9,3,2,1562.4
1238,옥수수,천안,2007,17810,12.5,-13.6,34.9,3,2,1562.4
1239,옥수수,천안,2007,22140,12.5,-13.6,34.9,3,2,1562.4
1240,옥수수,천안,2006,19520,11.5,-15.6,33.5,6,3,1043.3
1241,옥수수,천안,2006,23380,11.5,-15.6,33.5,6,3,1043.3
1242,옥수수,천안,2006,22080,11.5,-15.6,33.5,6,3,1043.3
1243,옥수수,천안,2006,19960,11.5,-15.6,33.5,6,3,1043.3
1244,옥수수,천안,2006,22040,11.5,-15.6,33.5,6,3,1043.3
1245,옥수수,천안,2006,21420,11.5,-15.6,33.5,6,3,1043.3
1246,옥수수,천안,2006,22400,11.5,-15.6,33.5,6,3,1043.3
1247,옥수수,천안,2006,20560,11.5,-15.6,33.5,6,3,1043.3
1248,옥수수,천안,2006,24070,11.5,-15.6,33.5,6,3,1043.3
1249,옥수수,천안,2006,19990,11.5,-15.6,33.5,6,3,1043.3
1250,옥수수,천안,2006,24540,11.5,-15.6,33.5,6,3,1043.3
1251,옥수수,홍천,2014,20840,11.7,-19.9,36.1,15,4,703.5
1252,옥수수,홍천,2014,20450,11.7,-19.9,36.1,15,4,703.5
1253,옥수수,홍천,2014,21130,11.7,-19.9,36.1,15,4,703.5
1254,옥수수,홍천,2014,25720,11.7,-19.9,36.1,15,4,703.5
1255,옥수수,홍천,2014,19570,11.7,-19.9,36.1,15,4,703.5
1256,옥수수,홍천,2014,18210,11.7,-19.9,36.1,15,4,703.5
1257,옥수수,홍천,2014,18460,11.7,-19.9,36.1,15,4,703.5
1258,옥수수,홍천,2014,24320,11.7,-19.9,36.1,15,4,703.5
1259,옥수수,홍천,2014,21710,11.7,-19.9,36.1,15,4,703.5
1260,옥수수,홍천,2014,29390,11.7,-19.9,36.1,15,4,703.5
1261,옥수수,홍천,2014,21790,11.7,-19.9,36.1,15,4,703.5
1262,옥수수,홍천,2014,17100,11.7,-19.9,36.1,15,4,703.5
1263,옥수수,홍천,2014,20030,11.7,-19.9,36.1,15,4,703.5
1264,옥수수,홍천,2013,12460,10.8,-24.1,34.6,16,6,1302.3
1265,옥수수,홍천,2013,11250,10.8,-24.1,34.6,16,6,1302.3
1266,옥수수,홍천,2013,13760,10.8,-24.1,34.6,16,6,1302.3
1267,옥수수,홍천,2013,9030,10.8,-24.1,34.6,16,6,1302.3
1268,옥수수,홍천,2013,9190,10.8,-24.1,34.6,16,6,1302.3
1269,옥수수,홍천,2013,13260,10.8,-24.1,34.6,16,6,1302.3
1270,옥수수,홍천,2013,12060,10.8,-24.1,34.6,16,6,1302.3
1271,옥수수,홍천,2013,9520,10.8,-24.1,34.6,16,6,1302.3
1272,옥수수,홍천,2013,11860,10.8,-24.1,34.6,16,6,1302.3
1273,옥수수,홍천,2013,9880,10.8,-24.1,34.6,16,6,1302.3
1274,옥수수,홍천,2013,8160,10.8,-24.1,34.6,16,6,1302.3
1275,옥수수,홍천,2013,8340,10.8,-24.1,34.6,16,6,1302.3
1276,옥수수,홍천,2013,11600,10.8,-24.1,34.6,16,6,1302.3
1277,옥수수,홍천,2013,12030,10.8,-24.1,34.6,16,6,1302.3
1278,옥수수,홍천,2012,19240,10.6,-22.2,37.9,24,10,1277.8
1279,옥수수,홍천,2012,18150,10.6,-22.2,37.9,24,10,1277.8
1280,옥수수,홍천,2012,19790,10.6,-22.2,37.9,24,10,1277.8
1281,옥수수,홍천,2012,19440,10.6,-22.2,37.9,24,10,1277.8
1282,옥수수,홍천,2012,20470,10.6,-22.2,37.9,24,10,1277.8
1283,옥수수,홍천,2012,20870,10.6,-22.2,37.9,24,10,1277.8
1284,옥수수,홍천,2012,19230,10.6,-22.2,37.9,24,10,1277.8
1285,옥수수,홍천,2012,20610,10.6,-22.2,37.9,24,10,1277.8
1286,옥수수,홍천,2012,18010,10.6,-22.2,37.9,24,10,1277.8
1287,옥수수,홍천,2011,18880,10.7,-22.5,36,12,3,1639.6
1288,옥수수,홍천,2011,15390,10.7,-22.5,36,12,3,1639.6
1289,옥수수,홍천,2011,22450,10.7,-22.5,36,12,3,1639.6
1290,옥수수,홍천,2011,19070,10.7,-22.5,36,12,3,1639.6
1291,옥수수,홍천,2011,16080,10.7,-22.5,36,12,3,1639.6
1292,옥수수,홍천,2011,23630,10.7,-22.5,36,12,3,1639.6
1293,옥수수,홍천,2011,15490,10.7,-22.5,36,12,3,1639.6
1294,옥수수,홍천,2011,15090,10.7,-22.5,36,12,3,1639.6
1295,옥수수,홍천,2011,16110,10.7,-22.5,36,12,3,1639.6
1296,옥수수,홍천,2011,16080,10.7,-22.5,36,12,3,1639.6
1297,옥수수,홍천,2010,22520,10.9,-23.9,35.2,21,4,1305.5
1298,옥수수,홍천,2010,18930,10.9,-23.9,35.2,21,4,1305.5
1299,옥수수,홍천,2010,20420,10.9,-23.9,35.2,21,4,1305.5
1300,옥수수,홍천,2010,18840,10.9,-23.9,35.2,21,4,1305.5
1301,옥수수,홍천,2010,19560,10.9,-23.9,35.2,21,4,1305.5
1302,옥수수,홍천,2010,22270,10.9,-23.9,35.2,21,4,1305.5
1303,옥수수,홍천,2010,20040,10.9,-23.9,35.2,21,4,1305.5
1304,옥수수,홍천,2010,20120,10.9,-23.9,35.2,21,4,1305.5
1305,옥수수,홍천,2010,21300,10.9,-23.9,35.2,21,4,1305.5
1306,옥수수,홍천,2010,21380,10.9,-23.9,35.2,21,4,1305.5
1307,옥수수,홍천,2010,22750,10.9,-23.9,35.2,21,4,1305.5
1308,옥수수,홍천,2007,18230,11.3,-16.5,36.1,13,3,1308
1309,옥수수,홍천,2007,20740,11.3,-16.5,36.1,13,3,1308
1310,옥수수,홍천,2007,20120,11.3,-16.5,36.1,13,3,1308
1311,옥수수,홍천,2007,18340,11.3,-16.5,36.1,13,3,1308
1312,옥수수,홍천,2007,16670,11.3,-16.5,36.1,13,3,1308
1313,옥수수,홍천,2007,18410,11.3,-16.5,36.1,13,3,1308
1314,옥수수,홍천,2007,17890,11.3,-16.5,36.1,13,3,1308
1315,옥수수,홍천,2007,17580,11.3,-16.5,36.1,13,3,1308
1316,옥수수,홍천,2005,17080,10.3,-19.3,35.9,12,6,1797.8
1317,옥수수,홍천,2005,16540,10.3,-19.3,35.9,12,6,1797.8
1318,옥수수,홍천,2005,19480,10.3,-19.3,35.9,12,6,1797.8
1319,옥수수,홍천,2005,19330,10.3,-19.3,35.9,12,6,1797.8
1320,옥수수,홍천,2005,20140,10.3,-19.3,35.9,12,6,1797.8
1321,옥수수,홍천,2005,21000,10.3,-19.3,35.9,12,6,1797.8
1322,옥수수,홍천,2005,19110,10.3,-19.3,35.9,12,6,1797.8
1323,옥수수,홍천,2005,18610,10.3,-19.3,35.9,12,6,1797.8
1324,옥수수,홍천,2005,18920,10.3,-19.3,35.9,12,6,1797.8
1325,옥수수,홍천,2005,19970,10.3,-19.3,35.9,12,6,1797.8
1326,옥수수,홍천,2005,18490,10.3,-19.3,35.9,12,6,1797.8
1327,옥수수,홍천,2005,17680,10.3,-19.3,35.9,12,6,1797.8
1328,옥수수,홍천,2016,21470,12.3,-19.3,36.6,35,17,967.9
1329,옥수수,홍천,2016,21670,12.3,-19.3,36.6,35,17,967.9
1330,옥수수,홍천,2016,24270,12.3,-19.3,36.6,35,17,967.9
1331,옥수수,홍천,2016,25240,12.3,-19.3,36.6,35,17,967.9
1332,옥수수,홍천,2016,22710,12.3,-19.3,36.6,35,17,967.9
1333,옥수수,홍천,2016,25000,12.3,-19.3,36.6,35,17,967.9
1334,옥수수,홍천,2016,22490,12.3,-19.3,36.6,35,17,967.9
1335,옥수수,홍천,2016,21020,12.3,-19.3,36.6,35,17,967.9
1336,옥수수,홍천,2016,22060,12.3,-19.3,36.6,35,17,967.9
1337,옥수수,홍천,2016,19440,12.3,-19.3,36.6,35,17,967.9
1338,옥수수,홍천,2016,23980,12.3,-19.3,36.6,35,17,967.9
1339,옥수수,홍천,2016,19690,12.3,-19.3,36.6,35,17,967.9
1340,옥수수,홍천,2015,24630,12.2,-16.4,37.1,21,6,740
1341,옥수수,홍천,2015,24560,12.2,-16.4,37.1,21,6,740
1342,옥수수,홍천,2015,24100,12.2,-16.4,37.1,21,6,740
1343,옥수수,홍천,2015,24530,12.2,-16.4,37.1,21,6,740
1344,옥수수,홍천,2015,28650,12.2,-16.4,37.1,21,6,740
1345,옥수수,홍천,2015,23790,12.2,-16.4,37.1,21,6,740
1346,옥수수,홍천,2015,23560,12.2,-16.4,37.1,21,6,740
1347,옥수수,홍천,2015,24350,12.2,-16.4,37.1,21,6,740
1348,옥수수,홍천,2015,22670,12.2,-16.4,37.1,21,6,740
1349,옥수수,홍천,2015,21210,12.2,-16.4,37.1,21,6,740
1350,옥수수,홍천,2015,23000,12.2,-16.4,37.1,21,6,740
1351,옥수수,홍천,2015,24420,12.2,-16.4,37.1,21,6,740
